iteracion,loss,validation_score
1,0.37176796793937683,0.12154778838157654
2,0.15765522420406342,0.07985434681177139
3,0.09727097302675247,0.07052027434110641
4,0.06523042172193527,0.06392012536525726
5,0.042211174964904785,0.06308761239051819
6,0.027196142822504044,0.0630931556224823
7,0.019094355404376984,0.0645308569073677
8,0.017968811094760895,0.06524491310119629
9,0.01571742631494999,0.06523049622774124
10,0.017838887870311737,0.06812450289726257
11,0.02157929725944996,0.06668419390916824
12,0.025688013061881065,0.07867014408111572
13,0.019485825672745705,0.07969710230827332
14,0.020979324355721474,0.0723533183336258
15,0.029553670436143875,0.08705823868513107
16,0.035676855593919754,0.07117917388677597
17,0.028770990669727325,0.06622592359781265
18,0.022220000624656677,0.06580004096031189
19,0.016382522881031036,0.06986990571022034
20,0.021463653072714806,0.07834074646234512
21,0.028507279232144356,0.11805570870637894
22,0.034973595291376114,0.15416130423545837
23,0.05753704532980919,0.07063595205545425
24,0.07865697145462036,0.08750912547111511
25,0.04549785330891609,0.05674663931131363
26,0.018851380795240402,0.058273542672395706
27,0.01281697303056717,0.05793849378824234
28,0.01508487481623888,0.06672026962041855
29,0.010215600952506065,0.0660373866558075
30,0.008190992288291454,0.071541927754879
31,0.007290816865861416,0.07096435129642487
32,0.007615274284034967,0.07006770372390747
33,0.0076030767522752285,0.06928540021181107
34,0.008468002080917358,0.06915044039487839
35,0.00904557853937149,0.06467381119728088
36,0.00983851682394743,0.06005875766277313
37,0.011616707779467106,0.057111918926239014
38,0.01327576208859682,0.06086721271276474
39,0.015003466047346592,0.06909869611263275
40,0.01650863140821457,0.07892284542322159
41,0.020318390801548958,0.08618289977312088
42,0.02318625897169113,0.11500342190265656
43,0.029287705197930336,0.13312843441963196
44,0.03419541195034981,0.15947002172470093
45,0.03987463563680649,0.14193755388259888
46,0.040561072528362274,0.13964129984378815
47,0.03287775442004204,0.1333959698677063
48,0.040622491389513016,0.10464804619550705
49,0.037874165922403336,0.0771157518029213
50,0.03301619738340378,0.06444942206144333
51,0.03005409426987171,0.06816241145133972
52,0.029073014855384827,0.06874498724937439
53,0.027537692338228226,0.08583232760429382
54,0.0316985622048378,0.07849934697151184
55,0.029246846213936806,0.09956496208906174
