feature,importance
num__OverallQual,0.5571143982359464
num__GrLivArea,0.12239467162791984
num__TotalBsmtSF,0.03347773055263284
num__2ndFlrSF,0.03235721504613395
num__BsmtFinSF1,0.028762626391079925
num__1stFlrSF,0.025893167020370294
num__LotArea,0.01804461007258907
num__GarageArea,0.015327674370897874
num__GarageCars,0.013826540297566092
num__YearBuilt,0.012581846261412627
num__LotFrontage,0.007852672648266036
num__YearRemodAdd,0.006693610987165584
num__FullBath,0.0064595992086104405
cat__BsmtQual_Ex,0.006412666907590488
num__TotRmsAbvGrd,0.005734804938739121
num__OpenPorchSF,0.005703029345987958
num__GarageYrBlt,0.00553295764845458
num__BsmtUnfSF,0.004808539088492385
num__WoodDeckSF,0.004385320755993434
num__MasVnrArea,0.003692291290597233
num__OverallCond,0.003679879188922244
cat__KitchenQual_Gd,0.003153738636895578
cat__BsmtQual_Gd,0.0030806841680715534
num__ScreenPorch,0.002953407308609183
num__MoSold,0.0027327001437222964
cat__ExterQual_Ex,0.002250995084014567
num__Fireplaces,0.0022396647749399943
num__MSSubClass,0.0021612296953922813
cat__GarageType_Detchd,0.0020120286451854046
cat__CentralAir_Y,0.0018706779730795686
cat__CentralAir_N,0.0016557095698999528
num__BedroomAbvGr,0.0015625238588627263
cat__LotShape_Reg,0.0015385661749258103
cat__BsmtExposure_Gd,0.001490648325706983
num__YrSold,0.0014269413534113247
cat__GarageType_Attchd,0.0013307403652795208
cat__ExterQual_Gd,0.001150765363948332
cat__MSZoning_RM,0.0011438530492363097
cat__BsmtExposure_No,0.0011318131767898533
cat__KitchenQual_Ex,0.0011092730978468153
cat__FireplaceQu_None,0.0010479391864402516
cat__KitchenQual_TA,0.0009112417700289631
num__HalfBath,0.0008574027162559703
num__BsmtFullBath,0.0008104718904394192
cat__BsmtFinType1_GLQ,0.0007986007486588624
num__KitchenAbvGr,0.0007418317829509868
cat__LandContour_Bnk,0.0007393913039934121
cat__GarageFinish_Unf,0.0007224095170605186
cat__FireplaceQu_Gd,0.0006784219535949351
cat__SaleType_New,0.0006661860018981099
cat__Neighborhood_Crawfor,0.0006324760511962257
cat__ExterQual_TA,0.0006292612753493596
cat__SaleCondition_Partial,0.0006130357814781526
cat__LotConfig_Corner,0.0006118709107041169
cat__LotConfig_CulDSac,0.0005938517501337607
cat__Fence_MnPrv,0.0005899908506103637
cat__Neighborhood_NoRidge,0.0005773046288694706
