feature,importance
num__OverallQual,0.16446534500735277
num__TotalBsmtSF,0.10586116802063969
num__1stFlrSF,0.09823587981777882
num__GarageArea,0.0900625838161463
num__GrLivArea,0.07132089600356624
num__LotFrontage,0.05710037225339848
num__YearBuilt,0.048906025374267005
num__2ndFlrSF,0.030161522516212198
cat__KitchenQual_Gd,0.02903506350492575
cat__BsmtFinType1_LwQ,0.023081514778154982
num__OpenPorchSF,0.022751355731471665
num__LotArea,0.02010605134065674
num__OverallCond,0.018906965484372328
num__YrSold,0.017829633879357387
cat__CentralAir_N,0.014462241357177672
num__BsmtFinSF1,0.012827754745301094
num__EnclosedPorch,0.01240003343873006
cat__Functional_Typ,0.010719479343205255
cat__SaleType_Oth,0.010065115899637229
cat__GarageType_Basment,0.009948418903699414
num__BsmtHalfBath,0.00982280755390523
cat__PavedDrive_P,0.009680754054005095
num__TotRmsAbvGrd,0.009437602460045606
cat__ExterQual_Fa,0.00924071977882306
num__YearRemodAdd,0.009100542292588666
cat__BsmtFinType2_LwQ,0.008830021121986446
cat__BldgType_Duplex,0.008667183135798732
cat__MasVnrType_Stone,0.008667183135798732
cat__BsmtFinType1_ALQ,0.008603453848035502
cat__ExterQual_TA,0.007800464822218856
num__BsmtUnfSF,0.0069337465086389835
cat__Exterior1st_HdBoard,0.0069337465086389835
cat__HeatingQC_Ex,0.0069337465086389835
num__MoSold,0.005200309881479238
cat__Neighborhood_NWAmes,0.004333591567899366
cat__Exterior2nd_Wd Sdng,0.003014672395060431
num__FullBath,0.0022216170721823633
cat__Fence_GdWo,0.0019450509686571643
num__MSSubClass,0.0015676739149302087
cat__KitchenQual_Fa,0.001423649177435184
cat__SaleCondition_Family,0.0008290385131571111
cat__Condition1_Artery,0.0005650035640249308
cat__MiscFeature_TenC,0.0
num__GarageYrBlt,0.0
cat__PavedDrive_N,0.0
cat__SaleCondition_Partial,0.0
num__BsmtFullBath,0.0
num__LowQualFinSF,0.0
num__WoodDeckSF,0.0
num__GarageCars,0.0
cat__LotConfig_Corner,0.0
cat__Utilities_NoSeWa,0.0
cat__Utilities_AllPub,0.0
cat__LandContour_Lvl,0.0
cat__LandContour_Low,0.0
cat__LandContour_HLS,0.0
cat__LandContour_Bnk,0.0
cat__LotShape_Reg,0.0
cat__LotShape_IR3,0.0
cat__LotShape_IR2,0.0
cat__LotShape_IR1,0.0
cat__Alley_Pave,0.0
cat__Alley_None,0.0
cat__Alley_Grvl,0.0
cat__Street_Pave,0.0
cat__Street_Grvl,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_Edwards,0.0
cat__Neighborhood_Crawfor,0.0
cat__Neighborhood_CollgCr,0.0
cat__Neighborhood_ClearCr,0.0
cat__Neighborhood_BrkSide,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_Blmngtn,0.0
cat__LandSlope_Sev,0.0
cat__LandSlope_Mod,0.0
cat__LandSlope_Gtl,0.0
cat__LotConfig_Inside,0.0
cat__LotConfig_FR3,0.0
cat__LotConfig_FR2,0.0
cat__LotConfig_CulDSac,0.0
cat__Neighborhood_Veenker,0.0
cat__Neighborhood_Timber,0.0
cat__Neighborhood_StoneBr,0.0
cat__Neighborhood_Somerst,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Sawyer,0.0
cat__Neighborhood_SWISU,0.0
cat__Neighborhood_OldTown,0.0
cat__Neighborhood_NridgHt,0.0
cat__Neighborhood_NoRidge,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_NAmes,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_MeadowV,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Condition2_RRAn,0.0
cat__Condition2_RRAe,0.0
cat__Condition2_PosN,0.0
cat__Condition2_PosA,0.0
cat__Condition2_Norm,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_Artery,0.0
cat__Condition1_RRNn,0.0
cat__Condition1_RRNe,0.0
cat__Condition1_RRAn,0.0
cat__Condition1_RRAe,0.0
cat__Condition1_PosN,0.0
cat__Condition1_PosA,0.0
cat__Condition1_Norm,0.0
cat__Condition1_Feedr,0.0
cat__RoofStyle_Gable,0.0
cat__RoofStyle_Flat,0.0
cat__HouseStyle_SLvl,0.0
cat__HouseStyle_SFoyer,0.0
