variable,anomalo,normal
MSSubClass,83.5,55.55755395683453
LotFrontage,85.13793103448276,69.28433945756781
LotArea,24131.314285714285,9831.206474820145
OverallQual,6.585714285714285,6.074820143884892
OverallCond,5.571428571428571,5.575539568345324
YearBuilt,1951.4571428571428,1972.2654676258992
YearRemodAdd,1983.942857142857,1984.9122302158273
MasVnrArea,207.15942028985506,98.5227765726681
BsmtFinSF1,739.3571428571429,428.7474820143885
BsmtFinSF2,81.58571428571429,44.784892086330935
BsmtUnfSF,665.4857142857143,562.2928057553956
TotalBsmtSF,1486.4285714285713,1035.825179856115
1stFlrSF,1583.9142857142858,1141.4107913669066
2ndFlrSF,796.9857142857143,324.33093525179856
LowQualFinSF,47.84285714285714,3.729496402877698
GrLivArea,2428.7428571428572,1469.4712230215828
BsmtFullBath,0.6142857142857143,0.4158273381294964
BsmtHalfBath,0.11428571428571428,0.05467625899280575
FullBath,2.0285714285714285,1.541726618705036
HalfBath,0.5285714285714286,0.37553956834532376
BedroomAbvGr,3.5428571428571427,2.8323741007194245
KitchenAbvGr,1.3714285714285714,1.0302158273381294
TotRmsAbvGrd,9.057142857142857,6.3899280575539565
Fireplaces,1.0,0.5935251798561151
GarageYrBlt,1973.2931034482758,1978.7350492051476
GarageCars,1.957142857142857,1.7575539568345324
GarageArea,562.1285714285714,468.49064748201437
WoodDeckSF,135.92857142857142,92.14532374100719
OpenPorchSF,86.51428571428572,44.653237410071945
EnclosedPorch,46.357142857142854,20.72517985611511
3SsnPorch,0.0,3.581294964028777
ScreenPorch,45.714285714285715,13.51726618705036
PoolArea,29.514285714285716,1.4115107913669065
MiscVal,275.0,31.83021582733813
MoSold,6.114285714285714,6.3323741007194245
YrSold,2007.7571428571428,2007.8187050359713
