variable_original,importance_total
GrLivArea,0.0563024896125071
TotalBsmtSF,0.045760321143979536
1stFlrSF,0.04037113950495554
CentralAir,0.03977511303785704
GarageArea,0.0347995712450484
OverallQual,0.032885985734601636
LotArea,0.030946526035641332
GarageCond,0.026966703474625094
YearRemodAdd,0.026635895347853947
OverallCond,0.02604060934833866
LotFrontage,0.025498860208617285
Neighborhood,0.02349101493655054
YearBuilt,0.022473912326365537
Exterior2nd,0.020866945450986493
GarageQual,0.020348936130097025
GarageType,0.02021544357465185
2ndFlrSF,0.02001025868840708
Exterior1st,0.01894018926836025
GarageYrBlt,0.01799746976216559
GarageFinish,0.017872091060180575
BsmtFinType1,0.017690835836144548
HeatingQC,0.017397338379265853
BsmtFinSF1,0.01661230687640482
TotRmsAbvGrd,0.01651033167378597
BsmtQual,0.015486033335171824
GarageCars,0.015434968609899275
BsmtUnfSF,0.015318964525504096
PavedDrive,0.01524708958244237
MSZoning,0.01398184614071635
MSSubClass,0.01383976298380667
SaleCondition,0.013284837055224262
BedroomAbvGr,0.01292823291562456
MoSold,0.012777560750368068
BsmtExposure,0.010897428468398716
Foundation,0.010726808558832015
HouseStyle,0.010679921637094246
BldgType,0.009957788062534147
Electrical,0.009843870094059407
FireplaceQu,0.009537616384263814
WoodDeckSF,0.008576983167086757
KitchenQual,0.008271838344006816
MasVnrArea,0.008189026127960013
OpenPorchSF,0.00809977507645612
BsmtCond,0.008027165881295302
YrSold,0.007815959351704392
Functional,0.0077863526997923645
EnclosedPorch,0.007511723981024936
Condition1,0.007429533953940947
Heating,0.007255566381430958
BsmtFinType2,0.006957115675955805
FullBath,0.006588987555677087
Fence,0.0065633411930892905
LotConfig,0.0065319573294064775
ExterQual,0.005635276418039804
ExterCond,0.0054968303755949955
RoofStyle,0.005475335103361822
MasVnrType,0.005238645520900385
LotShape,0.005189995907689855
Fireplaces,0.004994585423116074
SaleType,0.00469862501368285
LandContour,0.004017292599214035
Alley,0.0034067188610673667
MiscFeature,0.0029554402391121495
BsmtFullBath,0.0026170393345171404
HalfBath,0.00232936411481954
MiscVal,0.0021301478397342047
PoolQC,0.0021278018968227514
BsmtFinSF2,0.0019803946659608883
KitchenAbvGr,0.0017888939735047874
BsmtHalfBath,0.0014808462827828489
Condition2,0.001417634457529481
LandSlope,0.001221654337123624
ScreenPorch,0.0011608645842486694
Street,0.0009186288775668957
RoofMatl,0.0008452834668958827
LowQualFinSF,0.0005088629381994755
PoolArea,0.0003893740007447919
3SsnPorch,1.6119287610949304e-05
Utilities,0.0
