feature,importance
cat__BsmtQual_Ex,0.067426994
cat__GarageType_None,0.0667107
cat__CentralAir_N,0.055500317
num__OverallQual,0.04346594
cat__PavedDrive_N,0.029963557
cat__GarageCond_TA,0.024952864
num__GrLivArea,0.022501042
cat__KitchenQual_Gd,0.0203167
num__TotalBsmtSF,0.01979723
cat__KitchenQual_Ex,0.016577983
cat__BsmtQual_Gd,0.015363286
num__BsmtFinSF1,0.013702758
num__YearRemodAdd,0.013085281
num__GarageCars,0.013028736
num__OverallCond,0.012551412
cat__HeatingQC_Ex,0.012512195
cat__GarageQual_TA,0.012303592
num__1stFlrSF,0.012197298
cat__SaleCondition_Abnorml,0.011698399
num__GarageArea,0.011220972
cat__Neighborhood_MeadowV,0.010715393
cat__Functional_Min1,0.010565203
cat__MSZoning_RM,0.010132748
num__YearBuilt,0.009692864
num__TotRmsAbvGrd,0.009502991
cat__BldgType_2fmCon,0.009003403
cat__BsmtFinType1_Unf,0.00889459
cat__BldgType_Duplex,0.008855714
cat__Exterior2nd_Stucco,0.008698943
cat__CentralAir_Y,0.00852382
cat__Condition2_Norm,0.008199826
cat__BsmtQual_Fa,0.008091217
cat__MasVnrType_Stone,0.007935634
num__2ndFlrSF,0.0076048663
num__LotFrontage,0.0074919728
num__MSSubClass,0.0074901967
num__LotArea,0.0071548116
cat__Exterior2nd_HdBoard,0.006990439
cat__ExterQual_Gd,0.0068766247
num__BsmtFullBath,0.00669473
cat__Fence_MnPrv,0.006636053
num__GarageYrBlt,0.006483115
cat__Neighborhood_NAmes,0.0063034142
cat__BsmtFinType1_ALQ,0.006006626
cat__SaleCondition_Normal,0.0058615194
cat__HeatingQC_TA,0.005856299
cat__Neighborhood_Edwards,0.005815248
cat__Exterior1st_HdBoard,0.0056157405
num__HalfBath,0.005429067
cat__HeatingQC_Fa,0.005387879
cat__FireplaceQu_Gd,0.0052853604
num__FullBath,0.005231099
cat__GarageQual_Fa,0.005125341
cat__PavedDrive_Y,0.005098981
cat__Condition1_Artery,0.0049668024
cat__GarageType_Detchd,0.004918222
num__MasVnrArea,0.004875968
cat__Electrical_SBrkr,0.0046999934
cat__Exterior2nd_VinylSd,0.004629506
cat__GarageType_Attchd,0.004607225
cat__Exterior1st_CemntBd,0.004605483
cat__Functional_Typ,0.0046032933
num__ScreenPorch,0.0045833276
cat__SaleType_WD,0.0045657516
num__WoodDeckSF,0.004505781
cat__HeatingQC_Gd,0.0045038485
cat__LotShape_Reg,0.0044667283
num__OpenPorchSF,0.0044631897
num__YrSold,0.0043909913
cat__Neighborhood_NoRidge,0.0043594753
num__KitchenAbvGr,0.004323735
cat__Exterior1st_VinylSd,0.004280598
cat__BsmtQual_TA,0.0042182375
cat__ExterCond_Gd,0.0041443193
cat__MasVnrType_BrkFace,0.00408751
num__BsmtUnfSF,0.0040367893
num__MiscVal,0.0040366743
num__BsmtHalfBath,0.003986394
cat__Fence_GdWo,0.0039634076
cat__BsmtCond_Fa,0.0039287065
cat__Alley_Grvl,0.0038889067
cat__Foundation_Slab,0.0038191443
num__EnclosedPorch,0.0037846784
num__BsmtFinSF2,0.0037056566
cat__Neighborhood_Mitchel,0.00368414
cat__Exterior2nd_MetalSd,0.0036387015
cat__Exterior1st_MetalSd,0.0035802976
cat__BsmtFinType2_Unf,0.0035528643
num__MoSold,0.0035237118
cat__PavedDrive_P,0.0035014306
cat__LandContour_Low,0.0034446856
cat__KitchenQual_TA,0.0034175627
num__Fireplaces,0.0033902298
cat__MSZoning_RL,0.0033532132
cat__Foundation_BrkTil,0.0033093193
cat__Neighborhood_NWAmes,0.0032796792
cat__Foundation_PConc,0.003192621
cat__LandContour_Bnk,0.0031487304
cat__Condition1_Norm,0.0031479914
cat__LandContour_Lvl,0.0030952285
cat__GarageCond_Fa,0.0030260198
cat__RoofStyle_Gable,0.0029766809
cat__RoofStyle_Hip,0.0029663907
cat__ExterCond_TA,0.0028988682
cat__BldgType_1Fam,0.0028582788
cat__KitchenQual_Fa,0.0027802857
cat__GarageFinish_Fin,0.0027711582
cat__FireplaceQu_None,0.0027206892
cat__Fence_None,0.0027187408
cat__GarageFinish_Unf,0.0026670664
cat__HouseStyle_1Story,0.0025975388
cat__FireplaceQu_TA,0.0025516998
cat__HouseStyle_1.5Fin,0.0023679323
cat__BsmtCond_TA,0.002364728
cat__BsmtExposure_No,0.0022587364
cat__BsmtExposure_Av,0.002242428
cat__Electrical_FuseA,0.0022312524
cat__LotConfig_Corner,0.0021558367
cat__LotConfig_Inside,0.002135701
cat__Neighborhood_OldTown,0.0021273433
cat__BsmtExposure_Mn,0.0020491015
cat__Exterior2nd_Wd Sdng,0.0019693915
cat__Exterior1st_BrkFace,0.0019222599
cat__Foundation_CBlock,0.0019173935
cat__BsmtFinType1_BLQ,0.0018030428
cat__Exterior2nd_Plywood,0.0017897246
cat__Neighborhood_BrkSide,0.0015999253
cat__Condition1_Feedr,0.0015792971
num__BedroomAbvGr,0.0014788313
cat__HouseStyle_2Story,0.0013992705
cat__BsmtExposure_Gd,0.0013264599
cat__LotShape_IR1,0.0007639116
cat__BsmtQual_None,0.0006442421
cat__Condition2_PosA,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_RRAe,0.0
cat__Condition2_PosN,0.0
cat__Neighborhood_Timber,0.0
cat__Neighborhood_StoneBr,0.0
cat__Neighborhood_Somerst,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Sawyer,0.0
cat__Neighborhood_SWISU,0.0
cat__Neighborhood_NridgHt,0.0
cat__SaleCondition_Alloca,0.0
cat__PoolQC_Gd,0.0
cat__SaleCondition_AdjLand,0.0
cat__PoolQC_None,0.0
cat__Fence_GdPrv,0.0
cat__PoolQC_Fa,0.0
cat__GarageCond_None,0.0
cat__Condition1_RRNn,0.0
cat__Condition2_Artery,0.0
cat__Condition2_RRNn,0.0
cat__Condition2_RRAn,0.0
cat__PoolQC_Ex,0.0
cat__GarageCond_Po,0.0
cat__Fence_MnWw,0.0
num__LowQualFinSF,0.0
cat__MiscFeature_Shed,0.0
cat__MiscFeature_Gar2,0.0
cat__SaleType_CWD,0.0
cat__SaleType_COD,0.0
cat__SaleType_ConLD,0.0
cat__SaleType_Con,0.0
cat__GarageCond_Gd,0.0
cat__MiscFeature_TenC,0.0
cat__MiscFeature_None,0.0
cat__MiscFeature_Othr,0.0
cat__MasVnrType_BrkCmn,0.0
cat__Exterior2nd_Wd Shng,0.0
cat__Exterior2nd_Stone,0.0
cat__Exterior2nd_CmentBd,0.0
cat__Exterior2nd_ImStucc,0.0
