variable_original,importance_total
OverallQual,0.5571143982359464
GrLivArea,0.12239467162791984
TotalBsmtSF,0.03347773055263284
2ndFlrSF,0.03235721504613395
BsmtFinSF1,0.028762626391079925
1stFlrSF,0.025893167020370294
LotArea,0.01804461007258907
GarageArea,0.015327674370897874
GarageCars,0.013826540297566092
YearBuilt,0.012581846261412627
BsmtQual,0.009893676060655917
LotFrontage,0.007852672648266036
YearRemodAdd,0.006693610987165584
FullBath,0.0064595992086104405
TotRmsAbvGrd,0.005734804938739121
OpenPorchSF,0.005703029345987958
GarageYrBlt,0.00553295764845458
KitchenQual,0.005241686632696107
BsmtUnfSF,0.004808539088492385
WoodDeckSF,0.004385320755993434
Neighborhood,0.004288942192043326
ExterQual,0.004045535087080953
GarageType,0.0037240993658097833
MasVnrArea,0.003692291290597233
OverallCond,0.003679879188922244
CentralAir,0.0035263875429795213
BsmtExposure,0.003204009730298374
ScreenPorch,0.002953407308609183
MoSold,0.0027327001437222964
FireplaceQu,0.0026426100116710453
Fireplaces,0.0022396647749399943
Exterior1st,0.002235982109200678
MSSubClass,0.0021612296953922813
LotShape,0.0021108909536652837
Exterior2nd,0.0019478329286352785
MSZoning,0.0018034419353953495
SaleCondition,0.0017882976330547036
BsmtFinType1,0.0017750263816964915
GarageFinish,0.0017581715553608738
LotConfig,0.0017466664099334193
LandContour,0.0016319435876316517
BedroomAbvGr,0.0015625238588627263
YrSold,0.0014269413534113247
MasVnrType,0.0011903384300135974
SaleType,0.0011713961123669668
HeatingQC,0.0011685913299781634
Fence,0.0010832186141154826
RoofStyle,0.0009419708388828008
Condition1,0.0008997500825139274
HouseStyle,0.0008985865875982069
HalfBath,0.0008574027162559703
Functional,0.0008465398624715806
BsmtFullBath,0.0008104718904394192
KitchenAbvGr,0.0007418317829509868
Foundation,0.0007264767844758581
LandSlope,0.0006895706109883709
GarageQual,0.0006875249630667134
EnclosedPorch,0.0005750162357352025
BsmtFinType2,0.0005746174187990209
ExterCond,0.000548011978035612
BsmtCond,0.0005168601123389433
Alley,0.0004968675123751846
RoofMatl,0.00048315150019626925
PoolQC,0.00045534342291895895
BsmtFinSF2,0.0004245007936581316
PavedDrive,0.0004102553030194043
GarageCond,0.0003846048043876252
PoolArea,0.00034269396932980363
BldgType,0.0003301276924191075
3SsnPorch,0.00023995051086933588
Condition2,0.0002100131995886081
Electrical,0.00016921721181755638
BsmtHalfBath,0.00012040234939046425
Heating,9.867218790710784e-05
LowQualFinSF,5.5690736087560056e-05
MiscVal,4.2151481227082336e-05
MiscFeature,3.120866266911938e-05
Street,9.556426013508068e-06
Utilities,2.5636545739831905e-06
