variable,cluster_0,cluster_1,diferencia_absoluta,diferencia_relativa
MSSubClass,51.69964028776978,60.094026548672566,8.394386260902785,0.16236836879672809
LotFrontage,78.06387665198238,65.1793842034806,12.884492448501788,0.1650506354679555
LotArea,11660.178057553956,9813.617256637168,1846.5608009167881,0.15836471722835382
OverallQual,7.215827338129497,5.412610619469026,1.8032167186604706,0.24989743159900837
OverallCond,5.2284172661870505,5.788716814159292,0.5602995479722415,0.10716427542915935
YearBuilt,1995.7553956834533,1956.2068584070796,39.548537276373736,0.019816324867221617
YearRemodAdd,1998.7068345323742,1976.3528761061948,22.35395842617936,0.011184210730639438
MasVnrArea,171.3369763205829,62.55481727574751,108.78215904483538,0.6349018255189511
BsmtFinSF1,526.2607913669065,392.8241150442478,133.43667632265868,0.25355618072186437
BsmtFinSF2,12.827338129496402,67.28982300884955,54.46248487935315,4.245813459467239
BsmtUnfSF,738.4712230215828,461.9258849557522,276.54533806583055,0.37448356746292355
TotalBsmtSF,1277.5593525179856,922.0398230088496,355.5195295091361,0.27828024491263786
1stFlrSF,1336.4622302158273,1055.7101769911505,280.75205322467673,0.21007107187708376
2ndFlrSF,498.76798561151077,253.64380530973452,245.12418030177625,0.49145933053670954
LowQualFinSF,0.7050359712230215,9.005530973451327,8.300495002228306,11.77315107458913
GrLivArea,1835.9352517985612,1318.3595132743362,517.575738524225,0.2819139389677199
BsmtFullBath,0.460431654676259,0.40376106194690264,0.05667059272935637,0.12308144358407086
BsmtHalfBath,0.012589928057553957,0.08517699115044247,0.07258706309288851,5.765486725663716
FullBath,2.0107913669064748,1.290929203539823,0.7198621633666518,0.3579994300821631
HalfBath,0.5449640287769785,0.2831858407079646,0.2617781880690139,0.48035865533456007
BedroomAbvGr,3.0215827338129495,2.771017699115044,0.25056503469790536,0.08292509481668774
KitchenAbvGr,1.0035971223021583,1.073008849557522,0.06941172725536382,0.06916293970247721
TotRmsAbvGrd,7.330935251798561,6.017699115044247,1.3132361367543135,0.17913623455235483
Fireplaces,0.8345323741007195,0.47676991150442477,0.3577624625962947,0.42869812328349105
GarageYrBlt,1996.794964028777,1966.1506682867557,30.644295742021313,0.015346741299964377
GarageCars,2.285971223021583,1.448008849557522,0.8379623734640609,0.3665673325303051
GarageArea,606.134892086331,391.0840707964602,215.05082128987078,0.35479036778374634
WoodDeckSF,141.10611510791367,65.42256637168141,75.68354873623225,0.5363590988126331
OpenPorchSF,71.45863309352518,31.408185840707965,40.050447252817214,0.5604703801204695
EnclosedPorch,9.543165467625899,29.587389380530972,20.044223912905075,2.1003747635837207
3SsnPorch,0.04136690647482014,5.481194690265487,5.439827783790666,131.50192381685264
ScreenPorch,6.744604316546763,20.175884955752213,13.43128063920545,1.991411209439528
PoolArea,7.244604316546763,0.0,7.244604316546763,1.0
MiscVal,19.928057553956833,57.980088495575224,38.05203094161839,1.9094701447238112
MoSold,6.318345323741007,6.324115044247788,0.005769720506780374,0.0009131695422060597
YrSold,2007.796762589928,2007.8274336283187,0.030671038390664762,1.527596764878787e-05
