variable,normal_mean,anomaly_mean,difference,relative_difference,abs_standardized_difference
GrLivArea,1469.4712230215828,2428.7428571428572,959.2716341212745,0.6528005578420131,1.8255136906770362
TotRmsAbvGrd,6.3899280575539565,9.057142857142857,2.6672147995889004,0.41740920642069035,1.6409657988870456
KitchenAbvGr,1.0302158273381294,1.3714285714285714,0.341212744090442,0.3312051077414207,1.5485864302826753
LotArea,9831.206474820145,24131.314285714285,14300.10781089414,1.4545628603691543,1.4326949447564201
1stFlrSF,1141.4107913669066,1583.9142857142858,442.5034943473793,0.387681190413011,1.1446392391792932
2ndFlrSF,324.33093525179856,796.9857142857143,472.6547790339157,1.4573225297394587,1.0827582814263035
TotalBsmtSF,1035.825179856115,1486.4285714285713,450.6033915724563,0.43501876603834727,1.0271208632529025
LowQualFinSF,3.729496402877698,47.84285714285714,44.11336073997944,11.828235229276894,0.9072514418958276
FullBath,1.541726618705036,2.0285714285714285,0.48684480986639245,0.3157789480701286,0.8837009370971357
BedroomAbvGr,2.8323741007194245,3.5428571428571427,0.7104830421377182,0.25084364454443187,0.870926898851553
PoolArea,1.4115107913669065,29.514285714285716,28.102774922918808,19.909713120722294,0.699468855931987
YearBuilt,1972.2654676258992,1951.4571428571428,-20.808324768756393,-0.010550468540020765,0.6889511266684345
BsmtFinSF1,428.7474820143885,739.3571428571429,310.6096608427544,0.7244582740950781,0.6810150427730798
MSSubClass,55.55755395683453,83.5,27.942446043165468,0.5029459371965037,0.6605690038381304
LotFrontage,69.28433945756781,85.13793103448276,15.853591576914951,0.22881926422383306,0.6528208204117962
