feature,importance
num__OverallQual,0.6344003277104833
num__GrLivArea,0.1059992475288712
num__TotalBsmtSF,0.03319878200453748
num__2ndFlrSF,0.029035298071483178
num__BsmtFinSF1,0.017950748145922995
num__1stFlrSF,0.016971882023926976
num__LotFrontage,0.01600910045806784
num__YearBuilt,0.015964763828425817
num__GarageArea,0.011879644955086333
cat__GarageType_Detchd,0.0086180439574122
num__GarageCars,0.008565797983590771
num__LotArea,0.00831671116500321
num__OverallCond,0.007966250918462306
num__GarageYrBlt,0.007823165903985761
num__MoSold,0.007614001825506048
num__Fireplaces,0.006315377124666708
cat__CentralAir_Y,0.0055805054239614306
cat__BsmtExposure_No,0.004233820554844123
num__OpenPorchSF,0.003592632301343169
cat__BsmtExposure_Gd,0.0031075303275836606
num__WoodDeckSF,0.0029081922551509186
cat__KitchenQual_Gd,0.002670309623142261
num__BsmtUnfSF,0.00252045010970017
cat__Functional_Typ,0.0024997480265884094
num__YearRemodAdd,0.002215858817985216
cat__Exterior1st_VinylSd,0.0019348262656658265
num__MSSubClass,0.0018838636397982755
cat__RoofStyle_Gambrel,0.001791056970352539
cat__Neighborhood_Crawfor,0.0017212346085987056
num__TotRmsAbvGrd,0.001623255504672297
num__BedroomAbvGr,0.001602039558620916
cat__CentralAir_N,0.0014552349415053274
cat__KitchenQual_TA,0.0013230105242636664
cat__Foundation_PConc,0.0012234170022034864
num__MasVnrArea,0.0012210372636059735
cat__BsmtQual_Gd,0.0011503654728408173
cat__PoolQC_Ex,0.001033503477906917
num__EnclosedPorch,0.0009840169716959645
cat__HouseStyle_1.5Fin,0.0007987683040323005
cat__BsmtFinType1_ALQ,0.0007270184760837603
cat__BsmtCond_TA,0.0006822723615374207
num__FullBath,0.0006729354322436801
cat__Exterior1st_HdBoard,0.0006139261652468788
cat__BsmtQual_TA,0.0006054699067021282
num__YrSold,0.0004948551721266481
cat__GarageType_Attchd,0.0004646452955494688
cat__Neighborhood_SWISU,0.00044563150471399303
cat__Exterior2nd_HdBoard,0.0004456194181208387
cat__MasVnrType_BrkCmn,0.00042441413737058194
cat__Exterior2nd_Wd Sdng,0.0004233397876535429
cat__LotConfig_FR2,0.0004196064466081672
cat__Condition1_RRAe,0.00041090510874276304
cat__Alley_None,0.0003924517844412078
cat__ExterQual_TA,0.00034829767119514565
cat__Neighborhood_CollgCr,0.0003419501812325452
num__HalfBath,0.0003323645509259292
cat__ExterQual_Gd,0.0003189889416061677
cat__LotConfig_CulDSac,0.00023601189863109694
num__BsmtFullBath,0.00021769418664334736
cat__FireplaceQu_TA,0.00021716887844519658
cat__RoofStyle_Gable,0.00020553159913858028
num__ScreenPorch,0.00019708919012357827
cat__HeatingQC_Ex,0.00019285558872993464
cat__GarageCond_TA,0.00018446300035411048
cat__MasVnrType_Stone,0.00018341717220066042
cat__Functional_Maj2,0.00017046733705790277
cat__Neighborhood_NridgHt,0.00015770684425745648
cat__BldgType_1Fam,0.00015747822639811975
cat__LandContour_Bnk,0.00015316772741342448
cat__HeatingQC_TA,0.0001528270284122513
cat__GarageFinish_RFn,0.00014414061510060135
cat__HeatingQC_Gd,0.00014062087557317743
cat__BsmtFinType1_BLQ,0.00014004846406694967
cat__SaleCondition_Abnorml,0.00013395133526171657
cat__Condition1_Feedr,0.00013214774626111084
cat__Exterior1st_BrkFace,0.0001315059104206784
cat__GarageFinish_Unf,0.00012696320622828614
cat__Neighborhood_SawyerW,0.0001229786753888709
cat__HouseStyle_SLvl,0.0001204307674660438
cat__GarageType_CarPort,0.00011467725882425019
cat__Neighborhood_Edwards,0.00010633778289598007
cat__LotShape_Reg,0.00010396261158409812
cat__SaleType_WD,0.00010200899851717342
cat__Heating_GasA,0.0001009773108233949
cat__Exterior1st_Wd Sdng,0.00010032819940886592
cat__Foundation_BrkTil,9.95506435457355e-05
cat__Exterior2nd_Plywood,8.675687528429732e-05
cat__Neighborhood_Mitchel,7.833585118106233e-05
cat__Fence_None,7.534432939658698e-05
cat__Exterior1st_MetalSd,7.523107862773636e-05
cat__MSZoning_RM,7.195133987099009e-05
cat__Fence_MnPrv,7.15232553140973e-05
cat__LotShape_IR1,6.932904564958944e-05
num__BsmtFinSF2,5.409161627186099e-05
cat__FireplaceQu_Gd,5.311339630102677e-05
cat__GarageFinish_Fin,5.173616878459664e-05
cat__Neighborhood_Sawyer,5.053086467333763e-05
cat__Exterior2nd_CmentBd,4.6560926145905594e-05
cat__Condition1_Norm,4.138918439292774e-05
cat__LandSlope_Gtl,4.038666038683051e-05
cat__Neighborhood_OldTown,3.453085838944205e-05
cat__LotConfig_Inside,3.294881332930954e-05
cat__BsmtExposure_Av,3.1133698613515556e-05
cat__GarageQual_Po,3.01617942076661e-05
cat__GarageType_BuiltIn,2.9447079052203986e-05
cat__Functional_Mod,2.7377499332811372e-05
cat__Exterior1st_WdShing,2.331644851571632e-05
cat__HouseStyle_1Story,2.1431012068171642e-05
cat__BsmtFinType1_Unf,2.0678132536002932e-05
cat__Neighborhood_NWAmes,2.0456042232001437e-05
cat__FireplaceQu_None,1.827623806066424e-05
cat__LotShape_IR2,1.745233303549089e-05
cat__SaleCondition_Normal,1.6746038672581988e-05
cat__Condition1_PosA,1.637457072808553e-05
cat__MasVnrType_BrkFace,1.2134527015207661e-05
cat__Exterior2nd_VinylSd,1.20593555942927e-05
cat__Neighborhood_NAmes,1.1202268600231314e-05
cat__RoofStyle_Hip,1.0809613332040516e-05
