feature,importance
num__GrLivArea,0.0563024896125071
num__TotalBsmtSF,0.045760321143979536
num__1stFlrSF,0.04037113950495554
num__GarageArea,0.0347995712450484
num__OverallQual,0.032885985734601636
num__LotArea,0.030946526035641332
num__YearRemodAdd,0.026635895347853947
num__OverallCond,0.02604060934833866
num__LotFrontage,0.025498860208617285
num__YearBuilt,0.022473912326365537
cat__CentralAir_N,0.021892274964632308
num__2ndFlrSF,0.02001025868840708
num__GarageYrBlt,0.01799746976216559
cat__CentralAir_Y,0.017882838073224726
num__BsmtFinSF1,0.01661230687640482
num__TotRmsAbvGrd,0.01651033167378597
num__GarageCars,0.015434968609899275
num__BsmtUnfSF,0.015318964525504096
num__MSSubClass,0.01383976298380667
cat__GarageCond_TA,0.013433389209650549
cat__GarageFinish_None,0.013223914351955154
num__BedroomAbvGr,0.01292823291562456
num__MoSold,0.012777560750368068
cat__GarageType_None,0.011231783898971745
cat__GarageCond_None,0.009007345560227226
cat__GarageQual_None,0.008602948773655894
num__WoodDeckSF,0.008576983167086757
cat__GarageQual_TA,0.008316380539364225
num__MasVnrArea,0.008189026127960013
num__OpenPorchSF,0.00809977507645612
num__YrSold,0.007815959351704392
num__EnclosedPorch,0.007511723981024936
cat__PavedDrive_Y,0.0070313787185615735
cat__MSZoning_RM,0.006904064756490055
num__FullBath,0.006588987555677087
cat__SaleCondition_Abnorml,0.006109229309764904
cat__BsmtQual_Fa,0.005426241009503
cat__HeatingQC_Ex,0.0053896982372499775
cat__PavedDrive_N,0.00521447443461484
cat__MSZoning_RL,0.005182362624534003
cat__BsmtFinType1_None,0.005117278731606001
num__Fireplaces,0.004994585423116074
cat__FireplaceQu_None,0.004789508070022413
cat__HeatingQC_TA,0.004761736305185059
cat__BsmtQual_None,0.0046049429765476855
cat__Electrical_SBrkr,0.004346319849443347
cat__SaleCondition_Normal,0.004229178991750766
cat__BsmtExposure_None,0.004166086661509938
cat__Neighborhood_IDOTRR,0.0041617486546300115
cat__GarageCond_Fa,0.004155370406166535
cat__HouseStyle_1Story,0.004102770768642909
cat__Exterior1st_MetalSd,0.003767744453279981
cat__Exterior2nd_MetalSd,0.0035593166979536613
cat__Neighborhood_MeadowV,0.003541526436724046
cat__KitchenQual_TA,0.003495965284909226
cat__Neighborhood_OldTown,0.003438316092239876
cat__Foundation_CBlock,0.003333917024831776
cat__HeatingQC_Fa,0.0033138622592382696
cat__GarageType_Attchd,0.003279480912734923
cat__BldgType_1Fam,0.0032688337952456116
cat__HeatingQC_Gd,0.003228124894699245
cat__Heating_GasA,0.003211619606459393
cat__Electrical_FuseA,0.0031580450358514056
cat__BsmtQual_TA,0.0031364366490464327
cat__BsmtCond_TA,0.0030853370801275175
cat__Exterior1st_Wd Sdng,0.003076511834548019
cat__Functional_Typ,0.0030575673176364516
cat__BsmtFinType1_ALQ,0.0030322742974697686
cat__PavedDrive_P,0.003001236429265958
cat__BsmtFinType1_Unf,0.002969092506189583
