state,up,right,down,left
0,2.0264389234353883,3.1341994980700387,3.213428124999976,2.0381220304104004
1,0.6892432361305827,4.430747629046312,2.67972160582956,0.4824013687716868
2,2.872241223213477,5.7203279018380595,3.8452207812881274,0.9265788444156372
3,4.512693105295416,3.7541707520221324,7.074889784510593,3.339771891417546
4,2.0367130922315893,4.4351874999999765,4.409804771958988,3.1978616134526985
5,3.107564685294361,5.636384256626714,5.72124999999998,3.169317285388786
6,2.2384161048691826,7.068469693385164,4.437947969880255,2.0295111442276306
7,5.017325501570161,6.68352772737324,8.499999715605608,4.492976225960626
8,0.6423706407684326,5.721091889724292,2.2536305762150923,1.8668526201965343
9,4.412130354220479,7.040469467584664,7.074999999999983,4.370800171019971
10,3.178782564622251,8.49979485594329,7.111802718676592,3.764466306717149
11,6.455659699581682,8.256792177837315,9.999999999923979,5.490631356563633
12,0.7110827070297648,7.062520617932758,1.7971801527690539,1.8815826557941056
13,5.697321121540366,8.499999999999986,7.072132703909405,5.621095778228639
14,7.007663491256552,9.999999999999993,8.48276068797787,7.019299774584315
15,0.0,0.0,0.0,0.0
