variable,cluster_0,cluster_1,diferencia_absoluta,diferencia_relativa
MSSubClass,55.59167750325098,58.35021707670043,2.758539573449454,0.04962144870134807
LotFrontage,64.6421875,76.2192513368984,11.57706383689839,0.17909455550059145
LotArea,8990.100130039013,12215.892908827786,3225.792778788773,0.35881611240460953
OverallQual,5.2067620286085825,7.092619392185239,1.8858573635766565,0.36219388426334886
OverallCond,5.889466840052016,5.225759768451519,0.6637070716004967,0.11269391434329475
YearBuilt,1951.851755526658,1992.875542691751,41.023787165092926,0.021017880609495207
YearRemodAdd,1973.7269180754226,1997.2619392185238,23.535021143101176,0.011924152691827363
MasVnrArea,48.46163849154746,165.86237188872622,117.40073339717875,2.4225498157198184
BsmtFinSF1,367.0442132639792,528.8813314037627,161.8371181397835,0.44091995539346596
BsmtFinSF2,57.916775032509754,33.898697539797396,24.018077492712358,0.41469984264887966
BsmtUnfSF,440.2522756827048,708.5629522431259,268.3106765604211,0.6094475630917485
TotalBsmtSF,865.2132639791938,1271.342981186686,406.12971720749226,0.4693983947260183
1stFlrSF,998.4551365409623,1345.3299565846598,346.8748200436976,0.3474115234114646
2ndFlrSF,219.9778933680104,488.34442836468884,268.3665349966784,1.2199704747045494
LowQualFinSF,7.222366710013004,4.311143270622287,2.9112234393907173,0.4030844121158555
GrLivArea,1225.6553966189856,1837.985528219971,612.3301316009854,0.4995940402907049
BsmtFullBath,0.3862158647594278,0.46888567293777134,0.08266980817834352,0.21405078279173795
BsmtHalfBath,0.07282184655396619,0.04052098408104197,0.03230086247292422,0.4435600578871201
FullBath,1.1820546163849155,1.9913169319826338,0.8092623155977183,0.6846234551096209
HalfBath,0.24317295188556567,0.5383502170767004,0.29517726519113474,1.2138573097966985
BedroomAbvGr,2.728218465539662,3.020260492040521,0.2920420265008592,0.1070449563294379
KitchenAbvGr,1.0598179453836152,1.031837916063676,0.02798002931993926,0.02640078840126784
TotRmsAbvGrd,5.82184655396619,7.29232995658466,1.4704834026184699,0.25258024047656985
Fireplaces,0.4096228868660598,0.8393632416787264,0.42974035481266665,1.049112167780764
GarageYrBlt,1962.2971014492753,1994.7387518142234,32.441650364948146,0.016532486513376604
GarageCars,1.3342002600780234,2.2489146164978293,0.9147143564198059,0.6855900000846303
GarageArea,361.4928478543563,597.0520984081041,235.55925055374786,0.6516290763480155
WoodDeckSF,64.41612483745124,127.43994211287989,63.023817275428655,0.9783857292636595
OpenPorchSF,24.964889466840052,70.80463096960926,45.839741502769215,1.836168414190516
EnclosedPorch,33.11573472041613,9.532561505065123,23.583173215351003,0.712144043140066
3SsnPorch,2.0390117035110533,4.934876989869754,2.895865286358701,1.4202298502613782
ScreenPorch,13.211963589076722,17.118668596237338,3.9067050071606158,0.29569450300260963
PoolArea,1.5916775032509753,4.057887120115774,2.466209616864799,1.549440519092345
MiscVal,54.89466840052015,30.795947901591894,24.09872049892826,0.43899929084369715
MoSold,6.215864759427828,6.439942112879884,0.22407735345205637,0.03604926460347936
YrSold,2007.8712613784135,2007.753979739508,0.11728163890552423,5.841093558209993e-05
