indice_original,is_anomaly,prediction,anomaly_score,decision_function,SalePrice
0,False,1,0.3974613936947429,0.10253860630525707,208500
1,False,1,0.4227304024953436,0.0772695975046564,181500
2,False,1,0.3785785735783441,0.12142142642165588,223500
3,False,1,0.4520834230963785,0.0479165769036215,140000
4,False,1,0.4209076429532506,0.07909235704674938,250000
5,False,1,0.47718241187201227,0.02281758812798773,143000
6,False,1,0.39533742234466734,0.10466257765533266,307000
7,False,1,0.48106577500169584,0.01893422499830416,200000
8,False,1,0.48988356350669027,0.010116436493309733,129900
9,False,1,0.493045932661743,0.006954067338256986,118000
10,False,1,0.38199105004496703,0.11800894995503297,129500
11,False,1,0.48356727379440206,0.016432726205597936,345000
12,False,1,0.4097042312930238,0.0902957687069762,144000
13,False,1,0.39605095571839005,0.10394904428160995,279500
14,False,1,0.4381235175288558,0.06187648247114419,157000
15,False,1,0.39723047921025595,0.10276952078974405,132000
16,False,1,0.40846099557136306,0.09153900442863694,149000
17,False,1,0.46692190310895715,0.03307809689104285,90000
18,False,1,0.3899915444809186,0.1100084555190814,159000
19,False,1,0.369970064774802,0.130029935225198,139000
20,False,1,0.4658444290024267,0.034155570997573326,325300
21,False,1,0.4149510053342398,0.08504899466576021,139400
22,False,1,0.406665080598305,0.09333491940169503,230000
23,False,1,0.388641470481366,0.11135852951863401,129900
24,False,1,0.4328722083427346,0.0671277916572654,154000
25,False,1,0.427867494852642,0.07213250514735797,256300
26,False,1,0.45096204930545225,0.04903795069454775,134800
27,False,1,0.4140229940581866,0.0859770059418134,306000
28,False,1,0.46639746512003777,0.03360253487996223,207500
29,False,1,0.4441253511477726,0.055874648852227426,68500
30,False,1,0.43587544521046556,0.06412455478953444,40000
31,False,1,0.38986727477225586,0.11013272522774414,149350
32,False,1,0.39953791752960044,0.10046208247039956,179900
33,False,1,0.44455474035105896,0.05544525964894104,165500
34,False,1,0.40132225529876253,0.09867774470123747,277500
35,False,1,0.4495174406103351,0.050482559389664894,309000
36,False,1,0.41531686130651774,0.08468313869348226,145000
37,False,1,0.4536689495815003,0.04633105041849972,153000
38,False,1,0.40679291813238105,0.09320708186761895,109000
39,False,1,0.45797369710050584,0.04202630289949416,82000
40,False,1,0.38682052048482995,0.11317947951517005,160000
41,False,1,0.4715807506123457,0.028419249387654277,170000
42,False,1,0.4019471092292747,0.09805289077072532,144000
43,False,1,0.3850540914283921,0.11494590857160791,130250
44,False,1,0.3980219809895583,0.10197801901044168,141000
45,False,1,0.43521186191952027,0.06478813808047973,319900
46,False,1,0.44705545186784756,0.052944548132152436,239686
47,False,1,0.40784098500519955,0.09215901499480045,249700
48,True,-1,0.5078673060090064,-0.007867306009006425,113000
49,False,1,0.39034929230063503,0.10965070769936497,127000
50,False,1,0.41032687631004144,0.08967312368995856,177000
51,False,1,0.42659207003797267,0.07340792996202733,114500
52,False,1,0.424211876551465,0.07578812344853503,110000
53,True,-1,0.5661965087996088,-0.06619650879960881,385000
54,False,1,0.392113187824747,0.10788681217525298,130000
55,False,1,0.43061393022863714,0.06938606977136286,180500
56,False,1,0.4244352880441246,0.07556471195587539,172500
57,False,1,0.38414661222108576,0.11585338777891424,196500
58,True,-1,0.5144526995481126,-0.014452699548112569,438780
59,False,1,0.405672322129477,0.09432767787052299,124900
60,False,1,0.3965192399125304,0.10348076008746959,158000
61,False,1,0.4199943660052746,0.08000563399472538,101000
62,False,1,0.39980874904383595,0.10019125095616405,202500
63,False,1,0.4245391648332185,0.07546083516678148,140000
64,False,1,0.4367554199775571,0.06324458002244288,219500
65,False,1,0.43310174132215795,0.06689825867784205,317000
66,False,1,0.42813559017814595,0.07186440982185405,180000
67,False,1,0.38013871555898215,0.11986128444101785,226000
68,False,1,0.41175815904671675,0.08824184095328325,80000
69,False,1,0.4266683440870682,0.07333165591293178,225000
70,True,-1,0.5017955102556471,-0.0017955102556470592,244000
71,False,1,0.3840470315584825,0.11595296844151748,129500
72,False,1,0.4124371209737536,0.08756287902624638,185000
73,False,1,0.39784852226790346,0.10215147773209654,144900
74,False,1,0.4884944068944541,0.011505593105545886,107400
75,False,1,0.45144140669692473,0.04855859330307527,91000
76,False,1,0.38636893076696094,0.11363106923303906,135750
77,False,1,0.40100720039270077,0.09899279960729923,127000
78,False,1,0.48701465710730213,0.012985342892697871,136500
79,False,1,0.4190367482848635,0.08096325171513652,110000
80,False,1,0.44284788325341,0.05715211674658999,193500
81,False,1,0.4306395066214131,0.06936049337858691,153500
82,False,1,0.40891340111154295,0.09108659888845705,245000
83,False,1,0.38229938247233597,0.11770061752766403,126500
84,False,1,0.4101049448793963,0.0898950551206037,168500
85,False,1,0.43072267521787916,0.06927732478212084,260000
86,False,1,0.3914315501329611,0.1085684498670389,174000
87,False,1,0.4278938597891805,0.07210614021081951,164500
88,True,-1,0.5119760674619867,-0.01197606746198665,85000
89,False,1,0.40933209626139977,0.09066790373860023,123600
90,False,1,0.4103828432078796,0.0896171567921204,109900
91,False,1,0.4005750250227737,0.0994249749772263,98600
92,False,1,0.4263711643896059,0.07362883561039413,163500
93,True,-1,0.5235540659871192,-0.023554065987119177,133900
94,False,1,0.39277881385125785,0.10722118614874215,204750
95,False,1,0.4101388935473252,0.08986110645267481,185000
96,False,1,0.3883302532133316,0.11166974678666841,214000
97,False,1,0.37957384817937406,0.12042615182062594,94750
98,False,1,0.44225701410085455,0.05774298589914545,83000
99,False,1,0.4709577368155878,0.02904226318441222,128950
100,False,1,0.4201895739289433,0.0798104260710567,205000
101,False,1,0.38258662316259806,0.11741337683740194,178000
102,False,1,0.43450530824287725,0.06549469175712275,118964
103,False,1,0.408420654162302,0.091579345837698,198900
104,False,1,0.4679486813362512,0.032051318663748773,169500
105,False,1,0.4094257497221679,0.09057425027783211,250000
106,False,1,0.4168626574285742,0.0831373425714258,100000
107,False,1,0.38634054705808796,0.11365945294191204,115000
108,False,1,0.4300519661306324,0.0699480338693676,115000
109,False,1,0.43379135881104386,0.06620864118895614,190000
110,False,1,0.4048181907922226,0.09518180920777741,136900
111,False,1,0.38995779738154474,0.11004220261845526,180000
112,False,1,0.4653144712840167,0.034685528715983294,383970
113,False,1,0.498189526589836,0.001810473410163993,217000
114,False,1,0.44867394176612935,0.05132605823387065,259500
115,False,1,0.43026226487338726,0.06973773512661274,176000
116,False,1,0.4513606772040085,0.04863932279599148,139000
117,False,1,0.39732273118519057,0.10267726881480943,155000
118,True,-1,0.5218910923703779,-0.021891092370377896,320000
119,False,1,0.37764520121208833,0.12235479878791167,163990
120,False,1,0.45877368317001527,0.04122631682998473,180000
121,False,1,0.40305336731588903,0.09694663268411097,100000
122,False,1,0.3814051099282325,0.11859489007176749,136000
123,False,1,0.3839538330737031,0.11604616692629688,153900
124,False,1,0.4016391004294134,0.09836089957058658,181000
125,False,1,0.4780584751966479,0.021941524803352097,84500
126,False,1,0.40611935851287634,0.09388064148712366,128000
127,False,1,0.4046736289762309,0.09532637102376912,87000
128,False,1,0.39109645033898954,0.10890354966101046,155000
129,False,1,0.45526357518452776,0.04473642481547224,150000
130,False,1,0.41920766221875533,0.08079233778124467,226000
131,False,1,0.3806153899888724,0.1193846100111276,244000
132,False,1,0.37663200474186614,0.12336799525813386,150750
133,False,1,0.38532536417890917,0.11467463582109083,220000
134,False,1,0.4112262830330302,0.08877371696696978,180000
135,False,1,0.3906953398332196,0.10930466016678042,174000
136,False,1,0.3782229158848375,0.12177708411516253,143000
137,True,-1,0.5023629201539239,-0.0023629201539239197,171000
138,False,1,0.4190461984608843,0.08095380153911569,230000
139,False,1,0.39533013289194435,0.10466986710805565,231500
140,False,1,0.4169897570530315,0.08301024294696852,115000
141,False,1,0.4104159134334769,0.08958408656652311,260000
142,False,1,0.4020106010684838,0.0979893989315162,166000
143,False,1,0.380285047041769,0.11971495295823098,204000
144,False,1,0.49090373082687017,0.009096269173129834,125000
145,False,1,0.4097201958716839,0.0902798041283161,130000
146,False,1,0.41829189618409346,0.08170810381590654,105000
147,False,1,0.3882319588185611,0.1117680411814389,222500
148,False,1,0.4133529429043512,0.0866470570956488,141000
149,False,1,0.4141718139725644,0.08582818602743558,115000
150,False,1,0.4029174071740199,0.09708259282598009,122000
151,False,1,0.4422765530077274,0.05772344699227261,372402
152,False,1,0.38951101040698005,0.11048898959301995,190000
153,False,1,0.45325192444518536,0.04674807555481464,235000
154,False,1,0.4479939174238872,0.05200608257611278,125000
155,False,1,0.43245239182481093,0.06754760817518907,79000
156,False,1,0.4094646543795411,0.0905353456204589,109500
157,False,1,0.41846847890604716,0.08153152109395284,269500
158,False,1,0.3969520485342154,0.1030479514657846,254900
159,False,1,0.48089894917184417,0.01910105082815583,320000
160,False,1,0.36535772833689384,0.13464227166310616,162500
161,False,1,0.4902513538560757,0.009748646143924289,412500
162,False,1,0.39578216233510044,0.10421783766489956,220000
163,False,1,0.4211907979236645,0.07880920207633552,103200
164,False,1,0.43967256110225195,0.060327438897748054,152000
165,False,1,0.4815406323498405,0.018459367650159486,127500
166,False,1,0.49967471022244975,0.0003252897775502528,190000
