variable_original,importance_total
BsmtQual,0.09574398
GarageType,0.07623615
CentralAir,0.064024135
OverallQual,0.04346594
KitchenQual,0.04309253
PavedDrive,0.038563967
Neighborhood,0.03788462
HeatingQC,0.028260222
GarageCond,0.027978884
Exterior2nd,0.027716706
GrLivArea,0.022501042
BldgType,0.020717397
Exterior1st,0.020004379
TotalBsmtSF,0.01979723
SaleCondition,0.017559918
GarageQual,0.017428933
BsmtFinType1,0.016704258
Functional,0.0151684955
BsmtFinSF1,0.013702758
MSZoning,0.013485961
Fence,0.0133182015
YearRemodAdd,0.013085281
GarageCars,0.013028736
OverallCond,0.012551412
Foundation,0.012238478
1stFlrSF,0.012197298
MasVnrType,0.0120231435
GarageArea,0.011220972
FireplaceQu,0.010557749
Condition1,0.009694091
YearBuilt,0.009692864
LandContour,0.009688645
TotRmsAbvGrd,0.009502991
Condition2,0.008199826
BsmtExposure,0.007876726
2ndFlrSF,0.0076048663
LotFrontage,0.0074919728
MSSubClass,0.0074901967
LotArea,0.0071548116
ExterCond,0.0070431875
Electrical,0.006931246
ExterQual,0.0068766247
BsmtFullBath,0.00669473
GarageYrBlt,0.006483115
HouseStyle,0.0063647414
BsmtCond,0.0062934346
RoofStyle,0.0059430716
GarageFinish,0.0054382244
HalfBath,0.005429067
FullBath,0.005231099
LotShape,0.00523064
MasVnrArea,0.004875968
ScreenPorch,0.0045833276
SaleType,0.0045657516
WoodDeckSF,0.004505781
OpenPorchSF,0.0044631897
YrSold,0.0043909913
KitchenAbvGr,0.004323735
LotConfig,0.0042915377
BsmtUnfSF,0.0040367893
MiscVal,0.0040366743
BsmtHalfBath,0.003986394
Alley,0.0038889067
EnclosedPorch,0.0037846784
BsmtFinSF2,0.0037056566
BsmtFinType2,0.0035528643
MoSold,0.0035237118
Fireplaces,0.0033902298
BedroomAbvGr,0.0014788313
3SsnPorch,0.0
Heating,0.0
LandSlope,0.0
LowQualFinSF,0.0
MiscFeature,0.0
RoofMatl,0.0
PoolQC,0.0
PoolArea,0.0
Utilities,0.0
Street,0.0
